// this wil store the map i.e. the coordinates roads i.e the edges
50 75
0 85 95
1 83 27
2 26 47
3 10 36
4 4 87
5 82 25
6 52 7
7 43 47
8 42 4
9 93 86
10 83 63
11 67 81
12 12 28
13 85 2
14 75 91
15 43 99
16 17 20
17 91 97
18 58 62
19 61 32
20 88 26
21 64 75
22 100 17
23 65 98
24 8 52
25 10 34
26 39 15
27 50 53
28 65 6
29 32 19
30 8 89
31 37 44
32 10 24
33 24 48
34 24 59
35 70 80
36 88 37
37 42 74
38 82 6
39 33 13
40 94 10
41 10 77
42 71 14
43 29 2
44 67 44
45 24 16
46 92 65
47 29 86
48 45 76
49 84 29
7 6 43.49
19 28 29.75
33 7 27.41
49 35 55.96
33 19 48.28
49 29 59.44
34 36 75.22
28 32 65.53
4 27 64.55
27 22 69.68
47 18 42.19
38 10 60.54
11 45 81.87
39 11 79.46
36 46 38.19
28 47 90.08
26 34 51.73
24 38 91.08
35 32 87.85
40 5 27.49
2 20 74.49
24 4 35.45
27 28 51.41
21 46 33.71
38 23 98.72
0 33 80.01
32 49 82.34
11 25 77.31
32 13 82.86
16 45 15.27
39 1 53.84
28 48 80.74
0 48 51.63
36 34 72.63
7 42 44.39
44 23 56.79
0 9 21.84
19 10 40.0
14 3 92.23
33 2 11.21
11 45 81.84
12 43 34.74
6 16 41.36
2 10 60.86
11 44 40.1
2 40 85.75
49 43 70.42
36 4 104.4
16 15 91.45
44 31 35.79
45 13 70.46
25 26 40.19
33 11 56.56
4 18 59.85
0 5 73.18
40 37 90.78
0 30 86.56
14 27 47.66
33 12 27.66
14 34 62.69
25 41 50.21
7 49 53.17
33 22 87.98
44 4 76.37
45 25 26.14
33 39 43.14
44 21 38.87
7 26 41.35
48 8 74.45
28 14 90.16
0 24 94.55
34 49 70.23
0 28 95.68
13 42 23.56
0 17 12.58
